date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-12-04,1392176669.63,78176,13010000000.0,1077.58,0.0,4250.0,20.81424327,null,
2013-12-05,1652815124.04,87783,13922300000.0,1152.73,0.0,4525.0,23.47744562,null,
2013-12-06,1125753376.38,69387,12593900000.0,1042.38,0.0,5000.0,18.47145997,null,
2013-12-07,1866970772.89,72618,10096600000.0,835.32,0.0,4850.0,38.91473896,null,
2013-12-08,914077158.622,48186,8431860000.0,697.31,0.0,4675.0,11.99139562,null,
2013-12-09,923436856.415,59913,9602480000.0,793.8,0.0,4700.0,13.42369633,null,
2013-12-10,740814137.241,67144,10798200000.0,892.32,0.0,5000.0,19.90798381,null,
2013-12-11,1038141640.83,67952,11973700000.0,989.07,0.0,4075.0,17.70167652,null,
2013-12-12,699234119.962,60084,10690600000.0,882.78,0.0,4025.0,14.94880582,null,
2013-12-13,844489326.95,59134,10599700000.0,874.98,0.0,4150.0,14.97650797,null,
2013-12-14,569069265.312,55718,10904900000.0,899.85,0.0,5100.0,12.8834059,null,
2013-12-15,373451142.969,51152,10611600000.0,875.29,0.0,4500.0,11.38158099,null,
2013-12-16,1539734080.47,65814,10676600000.0,880.33,0.0,4850.0,14.67872094,null,
2013-12-17,1207736823.91,69180,8570390000.0,706.37,0.0,4950.0,15.74729292,null,
2013-12-18,1321272935.47,81123,8232040000.0,678.2,0.0,5075.0,18.50497338,null,
2013-12-19,666703283.763,69391,6302970000.0,519.06,0.0,5575.0,15.87073277,null,
2013-12-20,682735746.182,69161,8433870000.0,694.22,0.0,4875.0,16.25276879,null,
2013-12-21,611354467.498,56116,7533740000.0,619.9,0.0,3925.0,14.05811592,null,
2013-12-22,483001935.534,51574,7315940000.0,601.78,0.0,4250.0,11.24091641,null,
2013-12-23,421961618.121,52016,7455670000.0,613.06,0.0,4000.0,11.64532734,null,
2013-12-24,478999004.719,58151,8179730000.0,672.36,0.0,4250.0,12.61901637,null,
2013-12-25,696278301.447,55814,8108930000.0,666.31,0.0,4150.0,12.43286359,null,
2013-12-26,378394250.898,49543,8326270000.0,683.94,0.0,4500.0,12.93953868,null,
