Date,DJIA,S&P,NASDAQ
1986-09-23,1795.97998,234.960007,353.600006
1986-09-24,1798.22998,235.66000400000001,354.399994
1986-09-25,1799.4899899999998,231.830002,354.5
1986-09-26,1759.4200440000002,231.830002,351.0
1986-09-29,1759.560059,232.229996,348.899994
1986-09-30,1761.390015,229.91000400000001,349.100006
1986-10-01,1775.030029,231.32000699999998,352.5
1986-10-02,1778.819946,233.600006,352.200012
1986-10-03,1793.449951,233.919998,353.5
1986-10-06,1772.9200440000002,233.710007,353.0
1986-10-07,1787.4000239999998,234.74000499999997,352.399994
1986-10-08,1777.560059,234.41000400000001,351.899994
1986-10-09,1802.589966,236.669998,353.600006
1986-10-10,1790.9200440000002,235.83999599999999,353.100006
1986-10-13,1792.5999760000002,235.520004,353.399994
1986-10-14,1797.6700440000002,235.899994,354.200012
1986-10-15,1799.209961,235.36000099999998,354.5
1986-10-16,1835.4899899999998,238.830002,356.299988
1986-10-17,1829.439941,239.5,355.700012
1986-10-20,1821.290039,238.83999599999999,354.100006
1986-10-21,1811.02002,236.02999900000003,353.0
1986-10-22,1803.569946,235.88999900000002,353.600006
1986-10-23,1812.1500239999998,236.27999900000003,354.799988
1986-10-24,1836.3299559999998,239.30000299999998,356.600006
1986-10-27,1834.0799559999998,238.22000099999997,356.100006
1986-10-28,1843.640015,238.809998,357.100006
1986-10-29,1841.540039,239.229996,357.299988
1986-10-30,1880.199951,240.97000099999997,360.799988
1986-10-31,1875.280029,243.69999700000002,361.399994
1986-11-03,1880.619995,243.97000099999997,361.0
1986-11-04,1884.280029,245.80000299999998,361.200012
1986-11-05,1886.109985,246.08999599999999,362.100006
1986-11-06,1891.72998,246.539993,362.0
1986-11-07,1885.689941,245.850006,361.0
1986-11-10,1883.439941,245.75,359.600006
1986-11-11,1891.589966,246.149994,360.799988
1986-11-12,1898.9000239999998,247.059998,361.399994
1986-11-13,1893.140015,246.63000499999998,360.600006
1986-11-14,1861.219971,243.00999500000003,358.100006
1986-11-17,1857.0,244.5,357.299988
1986-11-18,1854.3299559999998,243.19999700000002,356.799988
1986-11-19,1811.589966,236.770004,350.600006
1986-11-20,1841.540039,237.66000400000001,351.0
1986-11-21,1864.030029,242.02999900000003,353.200012
1986-11-24,1887.6500239999998,245.86000099999998,355.899994
1986-11-25,1906.780029,247.440002,356.200012
1986-11-26,1908.459961,248.13999900000002,357.399994
1986-11-28,1917.180054,248.82000699999998,358.600006
1986-12-01,1900.1700440000002,249.22000099999997,357.399994
1986-12-02,1920.699951,249.059998,359.299988
1986-12-03,1947.550049,254.0,361.799988
1986-12-04,1945.439941,253.850006,364.0
1986-12-05,1938.410034,253.05000299999998,364.5
1986-12-08,1925.47998,251.16000400000001,362.0
1986-12-09,1931.52002,251.16000400000001,360.100006
1986-12-10,1913.6700440000002,249.27999900000003,358.399994
1986-12-11,1940.0999760000002,250.97000099999997,358.899994
1986-12-12,1921.2600100000002,248.169998,356.700012
1986-12-15,1901.0100100000002,247.309998,353.600006
1986-12-16,1923.6500239999998,248.210007,353.5
1986-12-17,1926.5999760000002,250.00999500000003,353.600006
1986-12-18,1916.199951,247.559998,351.899994
1986-12-19,1914.6500239999998,246.789993,351.600006
1986-12-22,1921.959961,249.729996,351.299988
1986-12-23,1924.209961,248.75,350.600006
1986-12-24,1913.949951,246.33999599999999,349.0
1986-12-26,1927.589966,246.75,349.700012
1986-12-29,1925.199951,246.899994,349.100006
1986-12-30,1911.140015,244.66000400000001,347.399994
1986-12-31,1909.030029,243.36999500000002,347.899994
1987-01-02,1900.589966,242.169998,351.299988
1987-01-05,1944.880005,246.44999700000002,356.200012
1987-01-06,1978.3499760000002,252.19999700000002,364.200012
1987-01-07,1971.880005,252.77999900000003,368.200012
1987-01-08,1996.77002,255.36000099999998,375.299988
1987-01-09,1998.880005,257.26001,377.799988
1987-01-12,1997.3299559999998,258.72000099999997,382.0
1987-01-13,2006.609985,260.299988,385.5
1987-01-14,2012.939941,259.950012,387.299988
1987-01-15,2044.709961,262.649994,392.0
1987-01-16,2073.1201170000004,265.459991,389.899994
1987-01-19,2067.070068,266.26001,388.600006
1987-01-20,2110.659912,269.339996,393.5
1987-01-21,2088.439941,269.040009,389.899994
1987-01-22,2090.830078,267.839996,389.0
1987-01-23,2158.459961,273.910004,394.799988
1987-01-26,2103.6298829999996,270.100006,388.700012
1987-01-27,2121.47998,269.609985,389.700012
1987-01-28,2162.679932,273.75,390.799988
1987-01-29,2178.149902,275.399994,393.0
1987-01-30,2158.320068,274.23999,390.100006
1987-02-02,2152.97998,274.079987,393.799988
1987-02-03,2187.98999,276.450012,398.600006
1987-02-04,2176.8798829999996,275.98999,399.899994
1987-02-05,2201.48999,279.640015,405.299988
1987-02-06,2198.540039,281.160004,406.600006
1987-02-09,2183.209961,280.040009,406.399994
1987-02-10,2172.3798829999996,278.160004,404.799988
1987-02-11,2159.72998,275.070007,404.600006
1987-02-12,2181.3798829999996,277.540009,409.600006
1987-02-13,2161.0,275.619995,409.200012
1987-02-17,2192.77002,279.700012,414.799988
1987-02-18,2254.639893,285.48999,418.799988
1987-02-19,2239.8798829999996,285.420013,417.299988
1987-02-20,2247.75,285.570007,416.399994
1987-02-23,2235.939941,285.480011,414.200012
1987-02-24,2221.030029,282.380005,415.0
1987-02-25,2223.139893,282.880005,419.399994
1987-02-26,2223.98999,284.0,421.39999400000005
1987-02-27,2220.330078,282.959991,423.89999400000005
1987-03-02,2228.209961,284.170013,425.0
1987-03-03,2224.409912,283.0,423.39999400000005
1987-03-04,2238.610107,284.119995,425.39999400000005
1987-03-05,2270.25,288.619995,429.0
1987-03-06,2281.919922,290.519989,428.299988
1987-03-09,2270.389893,290.660004,426.799988
1987-03-10,2257.310059,288.299988,427.89999400000005
1987-03-11,2294.01001,290.869995,431.39999400000005
1987-03-12,2269.419922,290.329987,431.299988
1987-03-13,2272.159912,291.22000099999997,432.5
1987-03-16,2251.419922,289.880005,430.299988
1987-03-17,2246.159912,288.089996,432.39999400000005
1987-03-18,2299.01001,292.48999,436.299988
1987-03-19,2281.389893,292.730011,435.299988
1987-03-20,2310.649902,294.079987,439.10000599999995
1987-03-23,2337.5,298.160004,439.60000599999995
1987-03-24,2370.169922,301.170013,437.10000599999995
1987-03-25,2366.76001,301.519989,436.5
1987-03-26,2374.860107,300.390015,438.200012
1987-03-27,2378.550049,300.959991,439.39999400000005
1987-03-30,2243.040039,296.100006,427.89999400000005
1987-03-31,2296.02002,289.209991,427.799988
1987-04-01,2277.1298829999996,291.589996,426.299988
1987-04-02,2328.550049,292.410004,431.10000599999995
1987-04-03,2321.590088,293.640015,433.299988
1987-04-06,2407.530029,300.459991,438.10000599999995
1987-04-07,2401.280029,301.940002,437.5
1987-04-08,2371.590088,296.72000099999997,434.60000599999995
1987-04-09,2375.98999,297.25,433.89999400000005
1987-04-10,2323.439941,292.820007,431.10000599999995
1987-04-13,2332.389893,292.480011,427.799988
1987-04-14,2275.709961,285.609985,417.100006
1987-04-15,2285.800049,279.170013,415.600006
